"Time","Potential"
0.0,4.327
0.1,4.336
0.2,4.336
0.3,4.269
0.4,4.351
0.5,4.318
0.6,4.315
0.7,4.336
0.8,4.321
0.9,4.248
1.0,4.382
1.1,4.400
1.2,4.373
1.3,4.376
1.4,4.376
1.5,4.406
1.6,4.394
1.7,4.391
1.8,4.412
1.9,4.409
2.0,4.400
2.1,4.406
2.2,4.428
2.3,4.415
2.4,4.418
2.5,4.440
2.6,4.425
2.7,4.422
2.8,4.382
2.9,4.373
3.0,4.403
3.1,4.467
3.2,4.458
3.3,4.403
3.4,4.418
3.5,4.425
3.6,4.412
3.7,4.443
3.8,4.473
3.9,4.476
4.0,4.476
4.1,4.480
4.2,4.489
4.3,4.519
4.4,4.522
4.5,4.507
4.6,4.547
4.7,4.483
4.8,4.489
4.9,4.467
5.0,4.467
5.1,4.476
5.2,4.464
5.3,4.464
5.4,4.452
5.5,4.510
5.6,4.492
5.7,4.516
5.8,4.519
5.9,4.486
6.0,4.522
6.1,4.513
6.2,4.544
6.3,4.483
6.4,4.458
6.5,4.443
6.6,4.476
6.7,4.538
6.8,4.550
6.9,4.574
7.0,4.483
7.1,4.489
7.2,4.470
7.3,4.516
7.4,4.522
7.5,4.480
7.6,4.400
7.7,4.400
7.8,4.327
7.9,4.330
8.0,4.388
8.1,4.415
8.2,4.376
8.3,4.278
8.4,4.357
8.5,4.345
8.6,4.391
8.7,4.458
8.8,4.425
8.9,4.309
9.0,4.287
9.1,4.345
9.2,4.379
9.3,4.397
9.4,4.437
9.5,4.354
9.6,4.400
9.7,4.446
9.8,4.547
9.9,4.592
10.0,4.522
10.1,4.498
10.2,4.489
10.3,4.516
10.4,4.513
10.5,4.544
10.6,4.516
10.7,4.498
10.8,4.519
10.9,4.592
11.0,4.412
11.1,4.562
11.2,4.513
11.3,4.458
11.4,4.327
11.5,4.446
11.6,4.464
11.7,4.379
11.8,4.284
11.9,4.220
12.0,4.113
12.1,4.235
12.2,4.287
12.3,4.177
12.4,4.016
12.5,3.753
12.6,3.527
12.7,3.814
12.8,3.881
12.9,3.765
13.0,3.405
13.1,2.987
13.2,2.822
13.3,3.542
13.4,3.655
13.5,3.729
13.6,3.008
13.7,2.523
13.8,2.221
13.9,3.042
14.0,3.487
14.1,3.561
14.2,2.624
14.3,2.172
14.4,1.909
14.5,3.036
14.6,3.619
14.7,3.799
14.8,2.966
14.9,2.401
15.0,2.303
15.1,3.127
15.2,3.716
15.3,3.869
15.4,3.243
15.5,2.737
15.6,2.544
15.7,3.188
15.8,3.768
15.9,3.777
16.0,3.301
16.1,3.036
16.2,3.094
16.3,3.219
16.4,3.564
16.5,3.579
16.6,3.472
16.7,3.228
16.8,3.179
16.9,2.978
17.0,3.088
17.1,3.100
17.2,3.042
17.3,3.039
17.4,2.645
17.5,2.096
17.6,2.315
17.7,2.480
17.8,2.502
17.9,2.382
18.0,1.470
18.1,0.878
18.2,1.400
18.3,1.787
18.4,1.656
18.5,0.911
18.6,-0.585
18.7,-0.762
18.8,0.493
18.9,0.984
19.0,0.578
19.1,-1.107
19.2,-2.822
19.3,-2.044
19.4,0.017
19.5,0.737
19.6,-0.499
19.7,-3.225
19.8,-3.433
19.9,-3.118
20.0,-0.444
20.1,0.585
20.2,-1.677
20.3,-3.518
20.4,-3.613
20.5,-2.996
20.6,0.582
20.7,1.067
20.8,-3.048
20.9,-3.677
21.0,-3.698
21.1,-3.317
21.2,0.475
21.3,1.192
21.4,-3.262
21.5,-3.671
21.6,-3.698
21.7,-2.676
21.8,1.082
21.9,1.445
22.0,-3.365
22.1,-3.665
22.2,-3.643
22.3,-2.273
22.4,1.152
22.5,1.787
22.6,-2.764
22.7,-3.506
22.8,-3.497
22.9,-1.528
23.0,1.876
23.1,2.117
23.2,-2.071
23.3,-3.298
23.4,-3.259
23.5,-0.472
23.6,2.129
23.7,2.706
23.8,-0.111
23.9,-1.595
24.0,-1.699
24.1,0.554
24.2,2.807
24.3,3.353
24.4,1.815
24.5,0.752
24.6,0.502
24.7,1.891
24.8,3.701
24.9,3.958
25.0,3.005
25.1,2.529
25.2,2.553
25.3,3.515
25.4,4.241
25.5,4.345
25.6,3.979
25.7,3.976
25.8,3.887
25.9,4.470
26.0,4.751
26.1,4.580
26.2,4.486
26.3,4.565
26.4,4.605
26.5,4.770
26.6,4.770
26.7,4.739
26.8,4.644
26.9,4.684
27.0,4.739
27.1,4.766
27.2,4.650
27.3,4.672
27.4,4.620
27.5,4.626
27.6,4.614
27.7,4.507
27.8,4.409
27.9,4.525
28.0,4.641
28.1,4.678
28.2,4.538
28.3,4.388
28.4,4.232
28.5,4.354
28.6,4.504
28.7,4.638
28.8,4.565
28.9,4.452
29.0,4.379
29.1,4.513
29.2,4.641
29.3,4.803
29.4,4.779
29.5,4.638
29.6,4.510
29.7,4.516
29.8,4.632
29.9,4.748
30.0,4.815
30.1,4.791
30.2,4.702
30.3,4.724
30.4,4.779
30.5,4.840
30.6,4.879
30.7,4.858
30.8,4.785
30.9,4.742
31.0,4.791
31.1,4.831
31.2,4.840
31.3,4.873
31.4,4.861
31.5,4.809
31.6,4.809
31.7,4.788
31.8,4.797
31.9,4.849
32.0,4.834
32.1,4.785
